sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
283,1,"Kyle Anderson","Memphis Grizzlies",81,77,38.5,58,0.753,77,27,50,35.1,36.4,0.03,2.6,35.1,65,25,40,38.5,12,2,10,16.7,0.16
284,8,"Josh Green","Dallas Mavericks",83,28,22.2,21,0.75,28,10,18,35.7,37.5,0,0,35.7,25,9,16,36,3,1,2,33.3,0.11
284,26,"Jeremy Lamb","Indiana Pacers",39,68,46.9,51,0.75,68,20,48,29.4,37.5,0,0,29.4,27,9,18,33.3,41,11,30,26.8,0.6
284,8,"Jaren Jackson Jr.","Memphis Grizzlies",90,44,9,33,0.75,44,11,33,25,37.5,0,0,25,7,0,7,0,37,11,26,29.7,0.84
284,24,"Pat Connaughton","Milwaukee Bucks",77,24,5.4,18,0.75,24,7,17,29.2,37.5,0,0,29.2,7,3,4,42.9,17,4,13,23.5,0.71
284,17,"Ignas Brazdeikis","Orlando Magic",42,24,25,18,0.75,24,7,17,29.2,37.5,0,0,29.2,8,3,5,37.5,16,4,12,25,0.67
289,33,"Kyle Kuzma","Washington Wizards",66,172,35.9,127,0.738,172,52,120,30.2,36.6,0.01,0.6,30.2,89,30,59,33.7,83,22,61,26.5,0.48
290,22,"Rudy Gay","Utah Jazz",55,76,29.7,56,0.737,76,23,53,30.3,36.8,0,0,30.3,44,13,31,29.5,32,10,22,31.3,0.42
291,20,"Josh Jackson","Detroit Pistons",39,49,34,36,0.735,49,16,33,32.7,36.7,0.02,2,32.7,32,12,20,37.5,17,4,13,23.5,0.35
292,21,"Frank Ntilikina","Dallas Mavericks",70,60,33.7,44,0.733,60,20,40,33.3,36.7,0,0,33.3,37,16,21,43.2,23,4,19,17.4,0.38
293,7,"Chimezie Metu","Sacramento Kings",60,41,18.6,30,0.732,41,13,28,31.7,36.6,0,0,31.7,26,9,17,34.6,15,4,11,26.7,0.37
294,1,"Jonathan Kuminga","Golden State Warriors",87,52,26.4,38,0.731,52,16,36,30.8,36.5,0,0,30.8,30,10,20,33.3,22,6,16,27.3,0.42
295,6,"Nickeil Alexander-Walker","New Orleans Pelicans",50,140,37.5,102,0.729,140,40,100,28.6,36.4,0,0,28.6,65,18,47,27.7,75,22,53,29.3,0.54
295,9,"RJ Barrett","New York Knicks",70,210,39.6,153,0.729,210,63,147,30,36,0.01,1.4,30,116,38,78,32.8,94,25,69,26.6,0.45
